"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2012年11月9日","105.84","105.26","106.69","105.08","5.84M","-0.03%"
"2012年11月8日","105.87","107.23","107.67","105.87","6.21M","-1.53%"
"2012年11月7日","107.51","109.24","109.30","106.78","7.63M","-2.58%"
"2012年11月6日","110.36","109.65","110.69","109.25","5.38M","1.07%"
"2012年11月5日","109.19","107.74","109.34","107.74","4.06M","0.76%"
"2012年11月2日","108.37","110.70","111.21","107.57","8.38M","-2.77%"
"2012年11月1日","111.46","110.02","111.69","109.89","6.48M","1.11%"
"2012年10月31日","110.24","111.93","111.94","109.25","5.96M","-0.85%"
"2012年10月26日","111.18","110.67","111.69","110.58","4.78M","0.20%"
"2012年10月25日","110.96","110.63","110.97","109.65","4.89M","1.14%"
"2012年10月24日","109.71","109.42","110.49","109.03","5.09M","0.30%"
"2012年10月23日","109.38","111.58","111.58","109.10","8.01M","-2.98%"
"2012年10月22日","112.74","113.61","113.70","111.73","4.81M","-0.56%"
"2012年10月19日","113.38","114.90","114.99","113.11","7.16M","-1.12%"
"2012年10月18日","114.66","114.55","115.03","114.37","6.17M","-0.45%"
"2012年10月17日","115.18","114.36","115.36","114.36","5.22M","0.96%"
"2012年10月16日","114.09","113.48","114.41","113.32","4.79M","1.13%"
"2012年10月15日","112.82","112.16","113.04","111.10","5.78M","0.67%"
"2012年10月12日","112.07","113.08","113.29","111.61","5.92M","-0.88%"
"2012年10月11日","113.06","113.37","114.22","113.06","7.28M","0.54%"
"2012年10月10日","112.45","114.64","115.05","112.01","15.96M","-4.18%"
"2012年10月9日","117.36","117.52","118.38","117.35","5.99M","-0.22%"
"2012年10月8日","117.62","117.19","117.87","116.95","3.44M","0.10%"
"2012年10月5日","117.50","117.42","118.25","117.12","4.51M","0.30%"
"2012年10月4日","117.15","116.64","117.47","116.47","5.43M","0.87%"
"2012年10月3日","116.14","117.65","117.74","116.05","7.36M","-1.54%"
"2012年10月2日","117.96","117.65","118.08","116.92","6.01M","0.61%"
"2012年10月1日","117.25","116.92","118.25","116.87","4.92M","0.59%"
"2012年9月28日","116.56","116.88","116.89","116.15","5.64M","-0.55%"
"2012年9月27日","117.20","116.78","117.40","116.52","5.48M","0.77%"
"2012年9月26日","116.30","116.82","117.00","116.15","5.59M","-0.54%"
"2012年9月25日","116.93","118.18","118.50","116.53","7.57M","-0.72%"
"2012年9月24日","117.78","117.55","118.49","117.46","6.81M","-0.02%"
"2012年9月21日","117.80","118.53","118.53","117.47","10.28M","-0.04%"
"2012年9月20日","117.85","116.14","118.17","115.50","7.29M","1.07%"
"2012年9月19日","116.60","117.09","117.18","115.83","5.98M","-0.32%"
"2012年9月18日","116.97","116.99","117.65","116.59","5.10M","-0.15%"
"2012年9月17日","117.14","117.17","118.50","116.89","7.41M","-0.09%"
"2012年9月14日","117.25","116.93","118.22","116.48","8.98M","0.59%"
"2012年9月13日","116.56","114.73","116.97","114.12","7.74M","1.82%"
"2012年9月12日","114.48","114.23","114.74","114.03","4.42M","0.26%"
"2012年9月11日","114.18","114.07","114.75","114.00","4.76M","0.19%"
"2012年9月10日","113.96","114.20","114.54","113.60","5.21M","-0.04%"
"2012年9月7日","114.00","112.97","114.00","112.74","5.06M","0.86%"
"2012年9月6日","113.03","111.57","113.44","111.57","5.53M","2.04%"
"2012年9月5日","110.77","111.60","111.73","110.59","4.44M","-0.40%"
"2012年9月4日","111.22","112.03","112.27","110.88","4.63M","-0.84%"
"2012年8月31日","112.16","111.67","112.95","111.67","5.56M","1.11%"
"2012年8月30日","110.93","111.49","111.69","110.92","3.52M","-0.78%"
"2012年8月29日","111.80","112.33","112.44","111.60","3.30M","-0.49%"
"2012年8月28日","112.35","111.84","112.81","111.77","3.34M","0.55%"
"2012年8月27日","111.73","112.18","112.39","111.46","3.39M","-0.25%"
"2012年8月24日","112.01","110.77","112.20","110.76","3.45M","0.65%"
"2012年8月23日","111.29","112.08","112.17","110.95","4.19M","-0.77%"
"2012年8月22日","112.15","111.90","112.35","111.28","4.45M","0.15%"
"2012年8月21日","111.98","112.81","113.45","111.78","4.65M","-0.48%"
"2012年8月20日","112.52","112.69","112.89","112.14","3.91M","-0.12%"
"2012年8月17日","112.66","113.31","113.57","112.51","5.64M","-0.58%"
"2012年8月16日","113.32","112.72","113.59","112.10","5.39M","0.67%"
"2012年8月15日","112.57","112.13","113.00","112.00","4.54M","-0.66%"
"2012年8月14日","113.32","113.70","113.87","112.96","6.29M","0.04%"
"2012年8月13日","113.28","113.32","113.59","112.71","4.34M","-0.24%"
"2012年8月10日","113.55","111.96","113.64","111.28","5.11M","0.82%"
"2012年8月9日","112.63","112.26","113.28","111.73","4.85M","0.44%"
"2012年8月8日","112.14","111.50","112.64","111.36","5.44M","0.17%"
"2012年8月7日","111.95","111.60","112.39","111.51","5.45M","0.57%"
"2012年8月6日","111.31","110.75","112.10","110.70","5.20M","0.17%"
"2012年8月3日","111.12","111.14","111.88","110.90","5.97M","1.71%"
"2012年8月2日","109.25","109.46","109.93","108.47","6.66M","-1.13%"
"2012年8月1日","110.50","109.72","111.23","109.14","8.36M","0.84%"
"2012年7月31日","109.58","109.55","110.82","109.53","10.02M","-0.22%"
"2012年7月30日","109.82","108.87","109.93","108.76","5.79M","0.51%"
"2012年7月27日","109.26","109.38","109.50","107.13","8.34M","0.91%"
"2012年7月26日","108.27","107.59","108.63","107.26","6.81M","2.08%"
"2012年7月25日","106.06","106.52","106.77","105.28","5.48M","-0.23%"
"2012年7月24日","106.30","108.16","108.16","104.61","6.66M","-1.53%"
"2012年7月23日","107.95","107.25","108.28","106.03","5.96M","-1.14%"
"2012年7月20日","109.19","108.16","109.25","107.50","9.37M","0.32%"
"2012年7月19日","108.84","107.92","108.98","107.12","6.83M","0.89%"
"2012年7月18日","107.88","106.79","107.98","106.66","5.52M","0.42%"
"2012年7月17日","107.43","106.99","107.50","105.58","6.67M","0.61%"
"2012年7月16日","106.78","105.71","107.25","105.50","5.19M","0.73%"
"2012年7月13日","106.01","105.34","106.19","104.87","6.77M","0.93%"
"2012年7月12日","105.03","104.31","106.08","104.27","7.87M","0.17%"
"2012年7月11日","104.85","104.31","105.63","104.02","5.93M","0.93%"
"2012年7月10日","103.88","104.87","105.39","103.29","6.42M","-0.56%"
"2012年7月9日","104.46","104.97","105.04","103.55","5.23M","-0.58%"
"2012年7月6日","105.07","104.99","105.35","104.39","4.61M","-0.91%"
"2012年7月5日","106.03","106.27","107.05","105.73","5.05M","-1.25%"
"2012年7月3日","107.37","106.29","107.42","106.22","4.08M","1.43%"
"2012年7月2日","105.86","105.59","106.09","104.69","5.70M","0.34%"
"2012年6月29日","105.50","105.32","105.51","104.35","10.65M","1.97%"
"2012年6月28日","103.46","101.85","103.65","101.43","7.01M","0.87%"
"2012年6月27日","102.57","101.46","102.90","101.25","5.74M","1.60%"
"2012年6月26日","100.95","98.97","101.29","98.83","7.62M","1.89%"
"2012年6月25日","99.08","99.34","99.56","98.17","7.09M","-1.35%"
"2012年6月22日","100.44","100.65","101.12","99.58","11.71M","0.42%"
"2012年6月21日","100.02","103.46","103.75","99.87","8.49M","-3.48%"
"2012年6月20日","103.63","104.04","104.55","102.59","7.61M","-0.41%"
"2012年6月19日","104.06","103.99","104.65","103.77","6.12M","0.58%"
"2012年6月18日","103.46","103.14","103.97","103.00","6.63M","-0.83%"
"2012年6月15日","104.33","103.00","104.50","102.64","11.09M","2.36%"
"2012年6月14日","101.92","100.17","102.17","99.90","6.54M","1.79%"
"2012年6月13日","100.13","100.68","101.40","99.71","5.19M","-0.61%"
"2012年6月12日","100.74","100.20","100.90","99.56","5.93M","0.83%"
"2012年6月11日","99.91","101.99","102.33","99.57","7.04M","-0.92%"
"2012年6月8日","100.84","99.89","101.00","99.69","5.76M","0.45%"
"2012年6月7日","100.39","100.98","102.00","100.18","7.97M","0.59%"
"2012年6月6日","99.80","97.89","99.80","97.58","7.15M","3.43%"
